RXN0-6981	EC-3.4.13.18	peptidase D	pepD
FUMHYDR-RXN	EC-4.2.1.2	fumarase A	fumA
FUMHYDR-RXN	EC-4.2.1.2	fumarase B	fumB
FUMHYDR-RXN	EC-4.2.1.2	fumarase	AY296131
FUMHYDR-RXN	EC-4.2.1.2	fumarase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase	AT5G50950
FUMHYDR-RXN	EC-4.2.1.2	fumarate hydratase	FH
FUMHYDR-RXN	EC-4.2.1.2	fumarase	fumC
FUMHYDR-RXN	EC-4.2.1.2	fumarate hydratase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase (fumC)	HP1325
RXN-14971	EC-1.3.5.1	succinate dehydrogenase	sdhA
RXN-8807	EC-2.8.3.18	succinyl-CoA:acetate CoA-transferase	ASCT
RXN-8807	EC-2.8.3.18	succinyl-CoA:acetate CoA-transferase	aarC
RXN-8807	EC-2.8.3.18	succinyl-CoA:CoA transferase	cat1
RXN-8807	EC-2.8.3.18	acetyl:succinate CoA-transferase	unknown
RXN-8807	EC-2.8.3.18	acetyl:succinate CoA-transferase	ASCT
ISOCITDEH-RXN	EC-1.1.1.42	isocitrate dehydrogenase	icd
ISOCITDEH-RXN	EC-1.1.1.42	isocitrate dehydrogenase	idh
ISOCITDEH-RXN	EC-1.1.1.42	isocitrate dehydrogenase, NADP	icd
ISOCITDEH-RXN	EC-1.1.1.42	NADP+-dependent isocitrate dehydrogenase	AT1G65930
ISOCITDEH-RXN	EC-1.1.1.42	isocitrate dehydrogenase (NADP-dependent)	icd
ISOCITDEH-RXN	EC-1.1.1.42	isocitrate dehydrogenase	icd1
ISOCITDEH-RXN	EC-1.1.1.42	isocitrate dehydrogenase	icd
ISOCITDEH-RXN	EC-1.1.1.42	mitochondrial NADP(+)-dependent isocitrate dehydrogenase	IDH2
ISOCITDEH-RXN	EC-1.1.1.42	cytosolic NADP(+)-dependent isocitrate dehydrogenase	IDH1
ISOCITDEH-RXN	EC-1.1.1.42	NADP-dependent isocitrate dehydrogenase||NADP-dependent isocitrate dehydrogenase||NADP-dependent isocitrate dehydrogenase	IDP2
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	EC-1.1.5.4	malate:quinone oxidoreductase	mqo
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitate hydratase 1	acnA
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	acnB
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	ACO1
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	cytoplasmic aconitate hydratase	ACO1
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	mitochondrial aconitate hydratase	ACO2
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	AT4G35830
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	Aco
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitate hydratase 1	acnA
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitate hydratase 2	acnB
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	acn
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	unknown
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	HP0779
CITSYN-RXN	EC-2.3.3.16	citrate synthase	gltA
CITSYN-RXN	EC-2.3.3.16	2-methylcitrate synthase	prpC
CITSYN-RXN	EC-2.3.3.16	citrate synthase	CIT3
CITSYN-RXN	EC-2.3.3.16	citrate synthase	aarA
CITSYN-RXN	EC-2.3.3.16	citrate synthase	citZ
CITSYN-RXN	EC-2.3.3.16	citrate synthase (mitochondrial)	AT2G44350
CITSYN-RXN	EC-2.3.3.16	citrate synthase (mitochondrial)	CS
CITSYN-RXN	EC-2.3.3.16	citrate synthase	unknown
CITSYN-RXN	EC-2.3.3.16	citrate synthase	CS
CITSYN-RXN	EC-2.3.3.16	citrate synthase	gltA2
CITSYN-RXN	EC-2.3.3.16	citrate synthase (gltA)	HP0026
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitate hydratase 1	acnA
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	acnB
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	ACO1
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	mitochondrial aconitate hydratase	ACO2
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	cytoplasmic aconitate hydratase	ACO1
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	AT4G35830
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	acn
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	unknown
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	HP0779
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-oxoglutarate dehydrogenase complex	lpd
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-oxoglutarate dehydrogenase complex	sucA
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-oxoglutarate dehydrogenase complex	sucB
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-ketoglutarate dehydrogenase complex	DLD
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-ketoglutarate dehydrogenase complex	DLST
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-ketoglutarate dehydrogenase complex	OGDH
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	pyruvate dehydrogenase complex E3 component	pdhD
FUMHYDR-RXN	EC-4.2.1.2	fumarase C	fumC
FUMHYDR-RXN	EC-4.2.1.2	fumarase A	fumA
FUMHYDR-RXN	EC-4.2.1.2	fumarase B	fumB
FUMHYDR-RXN	EC-4.2.1.2	fumarase	AY296131
FUMHYDR-RXN	EC-4.2.1.2	fumarase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase	AT5G50950
FUMHYDR-RXN	EC-4.2.1.2	fumarate hydratase	FH
FUMHYDR-RXN	EC-4.2.1.2	fumarase	fumC
FUMHYDR-RXN	EC-4.2.1.2	fumarate hydratase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase (fumC)	HP1325
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	mdh
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	cmdh
MALATE-DEH-RXN	EC-1.1.1.37	cytosolic malate dehydrogenase	MDH1
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	AT3G47520
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	cMDH
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	cyMDH
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	AT1G53240
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	AT2G22780
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	AT5G09660
MALATE-DEH-RXN	EC-1.1.1.37	mitochondrial malate dehydrogenase	MDH2
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	MDH1
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	mdh
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD-linked)	mdh
MALATE-DEH-RXN	EC-1.1.1.37	(2R)-3-sulfopyruvate dehydrogenase||S-malate dehydrogenase||L-2-hydroxycarboxylate dehydrogenase [NAD(P)+]	mdh
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	isocitrate dehydrogenase (NAD)	IDH3G
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	isocitrate dehydrogenase (NAD)	IDH3B
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	isocitrate dehydrogenase (NAD)	IDH3A
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	NAD+-dependent isocitrate dehydrogenase	AT5G03290
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	NAD+-dependent isocitrate dehydrogenase	AT2G17130
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	isocitrate dehydrogenase [NAD]	IDH1
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41	isocitrate dehydrogenase [NAD]	IDH2
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate:quinone oxidoreductase	sdhD
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate:quinone oxidoreductase	sdhC
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate:quinone oxidoreductase	sdhB
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate:quinone oxidoreductase	sdhA
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase (ubiquinone)	SDH4
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase (ubiquinone)	SDH3
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase (ubiquinone)	SDH1
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase (ubiquinone)	SDH2
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	SDHB
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	SDHA
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	SDHD
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	SDHC
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase	unknown
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT5G66760
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT5G40650
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT5G09600
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT4G32210
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT2G46505
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT1G47420
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT1G08480
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT5G62575
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT3G47833
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase complex	AT2G46390
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	succinate dehydrogenase	sdhA
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitate hydratase 1	acnA
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	acnB
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	ACO1
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	cytoplasmic aconitate hydratase	ACO1
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	mitochondrial aconitate hydratase	ACO2
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	AT4G35830
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	Aco
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitate hydratase 1	acnA
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitate hydratase 2	acnB
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	acn
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	unknown
ACONITATEDEHYDR-RXN	ACONITATEDEHYDR-RXN	aconitase	HP0779
CITSYN-RXN	EC-2.3.3.16	citrate synthase	gltA
CITSYN-RXN	EC-2.3.3.16	2-methylcitrate synthase	prpC
CITSYN-RXN	EC-2.3.3.16	citrate synthase	CIT3
CITSYN-RXN	EC-2.3.3.16	citrate synthase	aarA
CITSYN-RXN	EC-2.3.3.16	citrate synthase	citZ
CITSYN-RXN	EC-2.3.3.16	citrate synthase (mitochondrial)	AT2G44350
CITSYN-RXN	EC-2.3.3.16	citrate synthase (mitochondrial)	CS
CITSYN-RXN	EC-2.3.3.16	citrate synthase	unknown
CITSYN-RXN	EC-2.3.3.16	citrate synthase	CS
CITSYN-RXN	EC-2.3.3.16	citrate synthase	gltA2
CITSYN-RXN	EC-2.3.3.16	citrate synthase (gltA)	HP0026
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitate hydratase 1	acnA
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	acnB
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	ACO1
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	mitochondrial aconitate hydratase	ACO2
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	cytoplasmic aconitate hydratase	ACO1
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	AT4G35830
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	acn
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	unknown
ACONITATEHYDR-RXN	ACONITATEHYDR-RXN	aconitase	HP0779
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-oxoglutarate dehydrogenase complex	lpd
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-oxoglutarate dehydrogenase complex	sucA
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-oxoglutarate dehydrogenase complex	sucB
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-ketoglutarate dehydrogenase complex	DLD
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-ketoglutarate dehydrogenase complex	DLST
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	2-ketoglutarate dehydrogenase complex	OGDH
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-RXN	pyruvate dehydrogenase complex E3 component	pdhD
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	sucD
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	sucC
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	sucD
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	sucC
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	unknown
SUCCCOASYN-RXN	EC-6.2.1.5	Succinyl-CoA ligase [ADP-forming]	sucD
SUCCCOASYN-RXN	EC-6.2.1.5	Succinyl-CoA ligase [ADP-forming]	sucC
SUCCCOASYN-RXN	EC-6.2.1.5	(ADP-forming) succinyl-CoA ligase	SUCLA2
SUCCCOASYN-RXN	EC-6.2.1.5	(ADP-forming) succinyl-CoA ligase	SUCLG1
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	Tb927.3.2230
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	Tb10.6k15.3250
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	&alpha;-SCS2
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	&beta;-SCS
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	unknown
SUCCCOASYN-RXN	EC-6.2.1.5	succinate-CoA ligase	unknown
SUCCCOASYN-RXN	EC-6.2.1.5	succinyl-CoA synthetase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase C	fumC
FUMHYDR-RXN	EC-4.2.1.2	fumarase A	fumA
FUMHYDR-RXN	EC-4.2.1.2	fumarase B	fumB
FUMHYDR-RXN	EC-4.2.1.2	fumarase	AY296131
FUMHYDR-RXN	EC-4.2.1.2	fumarase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase	AT5G50950
FUMHYDR-RXN	EC-4.2.1.2	fumarate hydratase	FH
FUMHYDR-RXN	EC-4.2.1.2	fumarase	fumC
FUMHYDR-RXN	EC-4.2.1.2	fumarate hydratase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase	unknown
FUMHYDR-RXN	EC-4.2.1.2	fumarase (fumC)	HP1325
RXN0-5224	EC-4.2.1.1	carbonic anhydrase 1	cynT
RXN0-5224	EC-4.2.1.1	&beta;-carbonic anhydrase	CA3
RXN0-5224	EC-4.2.1.1	&beta;-carbonic anhydrase	CA2
RXN0-5224	EC-4.2.1.1	carbonate dehydratase	AT3G01500
RXN0-5224	EC-4.2.1.1	carbonic anhydrase	cab
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82	malate dehydrogenase (NADP)	unknown
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82	malate dehydrogenase (NADP)	unknown
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82	malate dehydrogenase (NADP -linked)	mdh6
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82	(2R)-3-sulfopyruvate dehydrogenase||S-malate dehydrogenase||L-2-hydroxycarboxylate dehydrogenase [NAD(P)+]	mdh
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1	pyruvate phosphate dikinase	unknown
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1	pyruvate orthophosphate dikinase	pdk1
MALIC-NADP-RXN	EC-1.1.1.40	malate dehydrogenase	maeB
MALIC-NADP-RXN	EC-1.1.1.40	NADP malic enzyme	me1
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	ppc
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	AT3G14940
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	ppcA
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	ppcA
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	pep1
RXN-10981	RXN-10981	unknown	unknown
1.8.5.1-RXN	EC-1.8.5.1	glutathione transferase, &Omega; class	GSTO1
1.8.5.1-RXN	EC-1.8.5.1	protein disulfide isomerase	P4HB
1.8.5.1-RXN	EC-1.8.5.1	glutaredoxin-1	GLRX
1.8.5.1-RXN	EC-1.8.5.1	dehydroascorbate reductase	unknown
1.8.5.1-RXN	EC-1.8.5.1	dehydroascorbate reductase	unknown
RXN-10980	RXN-10980	3&alpha;-hydroxysteroid dehydrogenase (A-specific)	Akr1c9
RXN-10980	RXN-10980	NADPH thioredoxin reductase	Txnrd1
RXN-3522	EC-1.6.5	NADPH thioredoxin reductase	Txnrd1
RXN-3522	EC-1.6.5	monodehydroascorbate reductase	unknown
RXN-3522	EC-1.6.5	monodehydroascorbate reductase	unknown
1.6.5.4-RXN	EC-1.6.5.4	NADH-monodehydroascorbate reductase	unknown
RXN-3523	RXN-3523	unknown	unknown
RXN0-5224	EC-4.2.1.1	carbonic anhydrase 1	cynT
RXN0-5224	EC-4.2.1.1	&beta;-carbonic anhydrase	CA3
RXN0-5224	EC-4.2.1.1	&beta;-carbonic anhydrase	CA2
RXN0-5224	EC-4.2.1.1	carbonate dehydratase	AT3G01500
RXN0-5224	EC-4.2.1.1	carbonic anhydrase	cab
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	mdh
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	cmdh
MALATE-DEH-RXN	EC-1.1.1.37	cytosolic malate dehydrogenase	MDH1
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	AT3G47520
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD)	cMDH
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	cyMDH
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	AT1G53240
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	AT2G22780
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	AT5G09660
MALATE-DEH-RXN	EC-1.1.1.37	mitochondrial malate dehydrogenase	MDH2
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	MDH1
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	mdh
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase	unknown
MALATE-DEH-RXN	EC-1.1.1.37	malate dehydrogenase (NAD-linked)	mdh
MALATE-DEH-RXN	EC-1.1.1.37	(2R)-3-sulfopyruvate dehydrogenase||S-malate dehydrogenase||L-2-hydroxycarboxylate dehydrogenase [NAD(P)+]	mdh
1.1.1.39-RXN	EC-1.1.1.38	malate dehydrogenase, NAD-requiring	maeA
1.1.1.39-RXN	EC-1.1.1.38	NAD-dependent malic enzyme	maeE
1.1.1.39-RXN	EC-1.1.1.38	NAD<sup>+</sup>-dependent malic enzyme, mitochondrial	M81055
1.1.1.39-RXN	EC-1.1.1.38	NAD-dependent malic enzyme, mitochondrial	MAE1
1.1.1.39-RXN	EC-1.1.1.38	malic enzyme (NAD)	unknown
1.1.1.39-RXN	EC-1.1.1.38	malic enzyme (NAD)	unknown
1.1.1.39-RXN	EC-1.1.1.38	malic enzyme (NAD)	unknown
RXN-13698	EC-2.6.1.2	alanine transaminase||alanine transaminase	unknown
RXN-13698	EC-2.6.1.2	alanine transaminase||alanine transaminase	AlaAT-2
RXN-13697	EC-2.6.1.1	aspartate aminotransferase 2	GOT2
RXN-13697	EC-2.6.1.1	aspartate aminotransferase||aspartate aminotransferase	unknown
RXN-13697	EC-2.6.1.1	aspartate transaminase	AAT2
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1	pyruvate phosphate dikinase	unknown
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1	pyruvate orthophosphate dikinase	pdk1
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	glutamate-pyruvate aminotransferase	alaB
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	glutamate-pyruvate aminotransferase	alaA
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	glutamate-pyruvate aminotransferase	alaC
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine aminotransferase 1	GPT
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine aminotransferase 2	GPT2
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine transaminase	unknown
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine transaminase||alanine transaminase	unknown
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine transaminase||alanine transaminase	AlaAT-2
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine transaminase	AT1G23310
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine transaminase	AT1G70580
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	tryptophan aminotransferase	AT1G70560
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine aminotransferase	unknown
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine aminotransferase	unknown
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2	alanine aminotransferase	aat
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase, PLP-dependent	aspC
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate transaminase	unknown
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase||aspartate aminotransferase	unknown
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate transaminase	AAT3
ASPAMINOTRANS-RXN	EC-2.6.1.1	phosphoserine aminotransferase	serC
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase 1	GOT1
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase	GOT1
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase	AAT2
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase	aspC
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase	unknown
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate aminotransferase	aspB-2
ASPAMINOTRANS-RXN	EC-2.6.1.1	aspartate transaminase||cysteine aminotransferase||3-sulfinoalanine aminotransferase	Got1
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	ppc
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	AT3G14940
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	ppcA
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	unknown
PEPCARBOX-RXN	EC-4.1.1.31	phosphoenolpyruvate carboxylase	ppcA
